listing_id,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,bath_qty,is_shared_bath,room_type_Hotel room,room_type_Private room,has_smoke_alarm,has_carbon_monoxide_alarm,has_wifi,has_hot_water,has_hangers,has_essentials,has_bed_linens,has_kitchen,has_hair_dryer,has_refrigerator,amenities_count,property_type_Hotel_B_and_B,property_type_House,property_type_Other_Unique,has_license,has_review,occupancy_rate
44473794,0,8,25,The Port,42.3644,-71.09606,1,1.0,1.0,79.0,91,1125,4.33,4.25,3.67,4.67,4.42,4.83,4.0,0,7,1.0,1.0,False,True,1,1,1,0,1,1,0,1,1,0,15,0,0,0,0,1,0.7013698630136986
44952411,1,10,13,Mid-Cambridge,42.3677,-71.10584,3,1.0,1.0,226.0,28,365,4.77,4.77,4.73,5.0,4.91,5.0,4.59,1,9,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,42,0,0,0,0,1,0.4356164383561643
45034782,1,10,13,Mid-Cambridge,42.3677,-71.10584,3,1.0,1.0,265.0,28,150,5.0,4.94,5.0,5.0,5.0,5.0,4.69,1,9,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,61,0,0,0,0,1,0.4547945205479452
45054510,1,20,28,Mid-Cambridge,42.37092,-71.10102,2,1.0,1.0,131.0,30,420,5.0,5.0,5.0,4.91,5.0,5.0,4.91,0,16,1.5,0.0,False,True,1,1,1,1,1,1,1,1,0,1,50,0,1,0,1,1,0.6575342465753424
45085165,1,14,19,Mid-Cambridge,42.3765,-71.10685,1,1.0,1.0,126.0,3,730,4.77,4.81,4.81,4.92,4.77,4.81,4.5,0,5,1.0,1.0,False,True,1,1,1,0,1,1,1,1,1,1,26,0,0,0,0,1,0.6493150684931507
45164940,1,9,10,Cambridgeport,42.3593,-71.11183,2,1.0,1.0,60.0,90,365,4.57,4.71,4.71,4.86,4.86,4.86,4.57,0,3,1.0,1.0,False,True,1,1,1,1,1,1,0,1,1,1,44,0,0,0,0,1,0.8246575342465754
45518727,0,2,2,Wellington-Harrington,42.37076,-71.09082,3,2.0,2.0,128.0,300,600,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1.0,0.0,False,False,1,1,1,0,1,1,0,1,1,0,17,0,0,0,0,1,1.0
45609348,1,9,10,Cambridgeport,42.35823,-71.11371,2,1.0,1.0,96.0,31,730,4.92,4.92,4.67,5.0,5.0,5.0,4.67,0,3,1.0,1.0,False,True,1,1,1,1,1,1,0,1,1,1,49,0,0,0,0,1,0.5397260273972603
45732245,1,262,1126,East Cambridge,42.36458,-71.08227,5,2.0,2.0,305.0,30,270,4.86,4.89,4.87,4.95,4.945,4.93,4.72,1,12,2.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,40,0,0,0,0,0,0.8794520547945206
45732348,1,262,1126,East Cambridge,42.36469,-71.08441,5,2.0,2.0,309.0,93,180,4.86,4.89,4.87,4.95,4.945,4.93,4.72,1,12,2.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,40,0,0,0,0,0,0.6986301369863014
