id,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,bath_qty,is_shared_bath,room_type_Hotel room,room_type_Private room,has_smoke_alarm,has_carbon_monoxide_alarm,has_wifi,has_hot_water,has_hangers,has_essentials,has_bed_linens,has_kitchen,has_hair_dryer,has_refrigerator,amenities_count,property_type_clean,has_license,has_review
1368964327475569224,0,169,234,Mid-Cambridge,42.37179,-71.11089,Private room in rental unit,2,1.0,1.0,37.0,30,365,4.86,4.89,4.87,4.95,4.945,4.93,4.72,0,83,1.0,1.0,False,True,1,1,1,1,1,1,1,1,1,1,33,Apartment,0,0
1369001477264761823,0,169,234,Mid-Cambridge,42.37339,-71.11241,Private room in rental unit,2,1.0,1.0,29.0,30,365,4.86,4.89,4.87,4.95,4.945,4.93,4.72,0,83,1.0,1.0,False,True,1,1,1,1,1,1,1,1,1,1,34,Apartment,0,0
1369035290877992847,0,169,234,Mid-Cambridge,42.373476778681805,-71.11129907955485,Private room in rental unit,2,1.0,1.0,43.0,30,365,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,83,1.0,1.0,False,True,1,1,1,1,0,1,1,1,1,1,33,Apartment,0,1
1369100335249440399,0,1,1,The Port,42.36534899999999,-71.0972199,Entire rental unit,6,2.0,3.0,248.0,2,365,4.83,4.92,4.92,5.0,5.0,4.75,4.75,1,1,1.0,0.0,False,False,1,1,1,1,1,0,1,1,1,1,44,Apartment,1,1
1371134817378285766,0,280,446,North Cambridge,42.39431958017792,-71.13379006962305,Entire rental unit,4,2.0,2.0,130.0,29,365,4.57,4.43,4.71,4.86,5.0,4.43,4.43,0,97,1.0,0.0,False,False,1,1,1,1,1,1,1,1,0,1,29,Apartment,0,1
1371846648224821367,0,279,428,North Cambridge,42.39302,-71.13204,Entire rental unit,4,2.0,2.0,125.0,29,365,4.25,4.38,4.63,4.75,4.75,4.25,4.13,0,2,1.0,0.0,False,False,1,1,1,1,1,1,1,1,0,1,32,Apartment,0,1
1374446242070484549,0,1,1,Cambridgeport,42.36171478654466,-71.1100561601739,Entire rental unit,4,2.0,2.0,110.0,25,365,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,2.0,0.0,False,False,1,1,1,1,0,0,0,1,0,1,25,Apartment,0,1
1378385310125670045,0,2,2,East Cambridge,42.36962,-71.08129,Entire home,3,2.0,2.0,200.0,30,365,4.86,4.89,4.87,4.95,4.945,4.93,4.72,0,2,1.0,0.0,False,False,1,1,1,1,1,0,1,1,0,1,24,House,0,0
1379008406971631030,0,6,6,Area 2/MIT,42.362231,-71.087385,Room in hotel,2,1.0,1.0,364.0,1,365,4.86,4.89,4.87,4.95,4.945,4.93,4.72,1,6,1.0,0.0,False,True,1,1,1,1,1,1,1,0,1,0,23,Hotel_B_and_B,0,0
1379039627516074486,0,8,9,North Cambridge,42.39059,-71.12385,Entire rental unit,4,2.0,2.0,153.0,31,365,4.86,4.86,5.0,5.0,5.0,5.0,4.86,1,1,1.0,0.0,False,False,1,1,1,0,0,0,1,1,0,1,24,Apartment,0,1
1379641804125594490,1,1,1,Cambridgeport,42.3560892,-71.1103243,Entire rental unit,4,1.0,2.0,253.0,3,31,5.0,5.0,5.0,5.0,5.0,5.0,4.87,0,1,1.0,0.0,False,False,1,1,1,1,0,0,0,1,1,1,30,Apartment,0,1
1379828246472933470,0,169,234,East Cambridge,42.36910229403946,-71.07990744995915,Private room in rental unit,1,1.0,1.0,105.0,30,365,5.0,4.0,5.0,5.0,5.0,4.0,3.0,0,83,1.0,1.0,False,True,1,1,1,1,1,1,1,1,1,1,37,Apartment,0,1
1380521885455054858,0,169,234,East Cambridge,42.367193379426055,-71.07855839974223,Private room in rental unit,3,1.0,2.0,128.0,30,365,4.86,4.89,4.87,4.95,4.945,4.93,4.72,0,83,1.0,1.0,False,True,1,1,1,1,0,1,1,1,1,1,36,Apartment,0,0
1380539853823927702,0,169,234,East Cambridge,42.36925205850516,-71.07910178256036,Private room in rental unit,2,1.0,1.0,53.0,30,365,4.86,4.89,4.87,4.95,4.945,4.93,4.72,0,83,1.0,1.0,False,True,1,1,1,1,1,1,1,1,1,1,37,Apartment,0,0
