listing_id,occupancy_rate
8521,0.25753424657534246
11169,0.852054794520548
19581,0.8054794520547945
27498,0.9342465753424658
79762,0.8246575342465754
106474,0.9561643835616438
108898,0.04657534246575343
231115,0.0
445407,0.0027397260273972603
675441,1.0
715532,0.6575342465753424
742574,0.32602739726027397
860634,0.2
910408,0.736986301369863
1054635,0.32602739726027397
1080789,0.8767123287671232
1097262,0.989041095890411
1140201,0.8684931506849315
1141088,0.8328767123287671
1154298,0.9397260273972603
1215512,0.4958904109589041
1225831,0.6794520547945205
1276962,0.07671232876712329
1404377,0.0
1406416,0.0
1502981,0.0
1632003,0.23835616438356164
1711476,0.8191780821917808
1799157,0.7698630136986301
1893287,0.4465753424657534
1935343,0.8328767123287671
1984737,0.43561643835616437
2030680,0.873972602739726
2038283,0.2219178082191781
2092181,0.04657534246575343
2223447,0.9917808219178083
2244415,1.0
2451591,0.6
2538983,0.7315068493150685
2692752,0.0
2764172,0.16986301369863013
2875646,0.0
3021937,0.9068493150684932
3100411,0.736986301369863
3167866,0.0
3234995,0.8547945205479452
3247833,0.7397260273972602
3334098,0.3178082191780822
3352446,0.049315068493150684
3369739,0.0
3506058,0.9068493150684932
3510127,0.9068493150684932
3538589,0.16986301369863013
3678159,0.0
3774900,0.4904109589041096
3861471,0.1726027397260274
3894437,0.32602739726027397
4031375,1.0
4068377,0.0
4112094,0.8602739726027397
4209359,0.4301369863013699
4216908,0.0
4235636,0.9178082191780822
4270619,0.43561643835616437
4455298,0.4438356164383562
4534572,0.0
4716432,0.06027397260273973
4736800,0.7972602739726027
4753390,0.2547945205479452
4759313,0.09863013698630137
4841421,0.0
4894617,0.0
4932029,0.043835616438356165
4954584,0.4931506849315068
4956321,0.19452054794520549
5020782,0.7315068493150685
5045782,0.09041095890410959
5159117,0.0
5171738,0.46301369863013697
5666988,0.7698630136986301
5705842,0.4575342465753425
5791244,0.3424657534246575
5811422,0.32602739726027397
5857136,0.07671232876712329
6106691,0.4684931506849315
6185544,0.4684931506849315
6185571,0.6191780821917808
6261046,0.37534246575342467
6363476,0.29315068493150687
6374780,0.7424657534246575
6473781,0.19726027397260273
6599485,0.31232876712328766
6702823,0.0
6761641,0.6547945205479452
6847242,0.2821917808219178
6947733,0.2356164383561644
6949378,0.9123287671232877
7007117,0.9068493150684932
7080737,0.3013698630136986
7084689,0.0
7094503,0.11506849315068493
7401198,0.2273972602739726
7415807,0.0
7490808,0.0
7508244,0.0
7729257,0.5698630136986301
7774831,0.15342465753424658
7872594,0.4602739726027397
7881324,0.4273972602739726
7883909,0.4986301369863014
7884541,0.3287671232876712
7886699,0.07671232876712329
8053796,0.6657534246575343
8059830,0.0
8064641,0.052054794520547946
8100480,0.5315068493150685
8129338,0.8958904109589041
8151702,0.3178082191780822
8308744,0.5945205479452055
8758789,0.8821917808219178
8866753,0.0
8988749,1.0
9109000,1.0
9300963,0.3589041095890411
9371115,0.473972602739726
9729190,0.40273972602739727
9790965,0.6438356164383562
9832821,0.0410958904109589
9938323,0.0
9940720,0.0
9975650,0.12054794520547946
10066136,0.052054794520547946
10066362,0.021917808219178082
10068003,0.9123287671232877
10138304,0.0
10152128,0.0
10152514,0.0
10355885,0.8575342465753425
10366230,0.673972602739726
10413061,0.7424657534246575
10545046,0.6027397260273972
10997123,0.2191780821917808
11656940,0.6356164383561644
11836087,0.44931506849315067
11944852,0.4383561643835616
12038379,0.08767123287671233
12220649,0.038356164383561646
12231967,0.9972602739726028
12248543,0.3041095890410959
12306678,0.7863013698630137
12318450,0.13424657534246576
12432434,0.9205479452054794
12489082,0.8383561643835616
12522168,0.0
12678652,0.2602739726027397
12810652,0.9123287671232877
12918434,0.21095890410958903
13044207,0.024657534246575342
13073921,0.019178082191780823
13147180,0.31232876712328766
13156403,0.0136986301369863
13169945,0.0136986301369863
13175406,0.536986301369863
13203203,0.0
13209403,0.0
13281865,1.0
13294153,0.8246575342465754
13522694,0.0
13546773,0.005479452054794521
13586974,0.8301369863013699
13600523,0.7945205479452054
13617148,0.0
13953617,0.8493150684931506
13971507,0.9972602739726028
14142611,0.8876712328767123
14212774,0.0
14213983,0.0
14214169,0.6712328767123288
14229298,0.01643835616438356
14251369,0.7671232876712328
14449525,0.9095890410958904
14521992,0.0
14536322,0.8273972602739726
14727253,0.6904109589041096
14754163,0.0
14758794,0.0
14759578,0.1506849315068493
14914342,0.8
15023471,0.3589041095890411
15056521,0.32602739726027397
15084907,0.2821917808219178
15125756,0.0684931506849315
15191990,0.0136986301369863
15235520,0.0
15285943,0.052054794520547946
15295354,0.052054794520547946
15295836,0.052054794520547946
15295997,0.9123287671232877
15369556,0.9123287671232877
15512578,0.7917808219178082
15645066,0.0
15649111,0.2273972602739726
15788977,0.9780821917808219
15789298,0.7041095890410959
15826847,0.0
15827795,0.0
15881987,0.0
15896255,0.024657534246575342
15929332,0.410958904109589
15930566,0.5095890410958904
16012632,0.1643835616438356
16013016,0.005479452054794521
16013157,0.0
16013859,0.0
16146887,0.6602739726027397
16238299,0.3095890410958904
16353525,0.39452054794520547
16361055,0.8246575342465754
16380128,0.8191780821917808
16436214,0.03287671232876712
16532655,0.9835616438356164
16793673,0.3287671232876712
17388503,0.29041095890410956
17693766,0.9808219178082191
17942925,0.29041095890410956
18151308,0.0
18676360,0.3506849315068493
18917534,1.0
19423076,0.0
19847550,0.4876712328767123
19942644,0.4986301369863014
20074638,0.4301369863013699
20355928,0.4438356164383562
20403672,0.33972602739726027
20419752,0.4958904109589041
20462256,0.0
20504268,0.0
20520318,0.473972602739726
20572514,0.4849315068493151
20649068,0.18904109589041096
20797694,0.536986301369863
20799027,0.4821917808219178
21012161,0.04657534246575343
21012703,0.7780821917808219
